user_id,user_project_cycle_id,project_id,os,source,os_env,dbm_version,extracted_at,record_type,value,extra_value,unit,start_time,end_time,session_id,is_aggregated,hardware_model,software_version,app_version
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,74.0,,count/min,2023-10-01 03:42:19.259000 UTC,2023-10-01 03:42:19.259000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,72.0,,count/min,2023-10-01 03:46:26.258000 UTC,2023-10-01 03:46:26.258000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,69.0,,count/min,2023-10-01 03:59:57.259000 UTC,2023-10-01 03:59:57.259000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,70.0,,count/min,2023-10-01 03:53:15.259000 UTC,2023-10-01 03:53:15.259000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,73.0,,count/min,2023-10-01 04:01:01.508000 UTC,2023-10-01 04:01:01.508000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,64.0,,count/min,2023-10-01 04:05:10.633000 UTC,2023-10-01 04:05:10.633000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,66.0,,count/min,2023-10-01 04:19:37.508000 UTC,2023-10-01 04:19:37.508000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,67.0,,count/min,2023-10-01 04:21:41.508000 UTC,2023-10-01 04:21:41.508000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,69.0,,count/min,2023-10-01 04:14:04.633000 UTC,2023-10-01 04:14:04.633000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,66.0,,count/min,2023-10-01 04:29:22.883000 UTC,2023-10-01 04:29:22.883000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,71.0,,count/min,2023-10-01 04:32:40.009000 UTC,2023-10-01 04:32:40.009000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,71.0,,count/min,2023-10-01 04:37:28.009000 UTC,2023-10-01 04:37:28.009000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,71.0,,count/min,2023-10-01 04:53:20.384000 UTC,2023-10-01 04:53:20.384000 UTC,,false,"Watch6,14",9.6.2,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,71.0,,count/min,2023-10-01 04:57:57.384000 UTC,2023-10-01 04:57:57.384000 UTC,,false,"Watch6,14",9.6.2,1.1.6
